2020tv,Dec08_2020_1500,1,1,M2,L2,M1,L2,M1,L2,K,M1,L2,K,M1,L2,M1,L2,K,M1,L2,K,M1,L2,K,M1,L2,M1,L2,K,L1,L2,K,M1,L2,K,M1,L2,K,M1,L2,K,M1,O,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec08_2020_1500,2,2,L1,M1,L2,M2,L2,M1,L2,M1,L2,M2,L2,M2,L2,M1,L1,K,L1,L1,K,L1,L1,K,L1,L2,K,L1,L1,K,L1,L1,K,M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec08_2020_1500,3,3,M1,L2,M2,L2,M2,L2,M2,L2,M1,L2,M1,L2,K,M1,L2,K,L1,L1,K,L1,L2,K,L1,L1,K,L1,L1,K,L1,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec08_2020_1500,4,4,M2,M1,L2,M2,L2,M2,L2,M2,L2,M2,L2,K,L1,L2,K,L1,L2,K,L1,L2,K,M1,L2,K,L1,L2,K,L1,L1,K,L1,L2,K,L1,O,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec08_2020_1500,5,5,L2,M2,L2,M2,L2,M1,L2,M2,L2,M2,L2,K,L1,L2,K,L1,L2,K,L1,L2,K,L1,L1,K,L1,L1,K,L1,L1,K,L1,L1,K,L1,L1,K,L1,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec08_2020_1500,6,6,L2,M1,L2,M2,L2,M2,L2,M2,L2,M1,L2,M1,L2,L1,L2,M1,L2,K,L1,L2,K,L1,K,L1,L1,K,L1,L1,K,L1,L1,K,M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec08_2020_1500,7,7,L2,M2,L2,M1,L2,M1,L2,L1,L2,L2,M1,L2,M1,L2,K,L1,L2,K,M1,L2,K,L1,L2,K,M1,L2,K,L1,L2,K,M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec08_2020_1500,8,8,L2,M1,L2,M2,L2,M1,L2,M1,L2,K,M1,L2,K,M1,L1,K,L1,L2,K,M1,L2,K,L1,L1,K,L1,L1,K,L1,L1,K,L1,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec08_2020_1500,9,9,L2,M2,L2,M2,L2,M2,L2,M1,L2,K,M1,L2,K,L1,L2,K,L1,L2,M2,L2,M1,L2,K,L1,L1,K,M1,L1,K,L1,L2,K,L1,L2,K,L1,L2,K,M1,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec08_2020_1500,10,10,L2,M1,L2,M2,L2,M2,L2,M2,L2,M2,L1,K,M1,L1,K,M1,L1,K,L1,L2,K,L1,L2,K,L1,L2,K,M1,L2,K,L1,L2,K,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec11_2020_0400,12,12,L1,L2,L2,M1,L2,M1,L2,M1,L2,M1,L2,M1,L2,L1,L2,L1,L2,L1,L2,K,L1,L2,K,L1,L2,K,L1,L2,K,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec11_2020_0400,13,13,L2,M1,L2,M1,L2,M1,L2,M1,L2,M1,L2,M1,L2,K,L1,L2,K,L2,K,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec11_2020_0400,14,14,L2,L2,L2,L2,M1,L2,M1,L2,M2,L2,M2,L2,M1,L2,L2,M1,L2,K,M1,L2,K,L2,L2,M1,L2,L1,L2,M2,L2,M1,L2,K,M1,L2,K,M2,L2,K,M1,O,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec11_2020_0400,15,15,L1,M1,L2,L2,L2,M1,L2,M2,L2,K,M2,L2,K,M2,L2,K,M1,L2,L2,L1,M1,L2,L2,K,L2,K,L2,K,L2,K,M1,L2,K,M1,L2,K,M1,L2,K,M1,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec11_2020_0400,16,16,L2,M2,L2,M1,L2,K,L2,M1,L2,L1,L2,L2,M2,L2,M1,L2,K,M2,L2,K,M1,L2,M2,L2,K,M1,L2,K,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec11_2020_0400,17,17,L2,M2,L2,M1,L2,M1,L2,M2,L2,M2,L2,M1,L2,M2,L2,K,M1,L2,K,M2,L2,K,M1,L2,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec11_2020_0400,18,18,L2,L2,L2,L2,L2,M1,L2,M2,L2,L1,L2,M1,L2,M2,L2,K,M1,L2,K,M1,L2,K,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec11_2020_0400,20,20,L2,M1,L2,M2,L2,M2,L2,M2,L2,M1,L2,L2,M1,L2,K,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec11_2020_0400,21,21,L2,M2,L2,L1,L2,L2,M1,L2,L2,L2,L2,K,O,O,O,L1,K,L1,L2,M1,L2,L1,L2,K,L1,L1,K,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec11_2020_0400,22,22,L1,M1,L2,L2,L2,M1,L2,M1,L2,L1,L2,M1,L2,K,L1,L2,K,M1,L2,M1,L2,M2,L2,K,L2,K,L1,L2,K,L1,L2,K,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec11_2020_0400,23,23,L2,L2,L2,L2,M2,L2,K,M2,L2,M1,L2,K,M1,L2,K,L2,K,L1,L2,L1,L2,M1,L2,K,M1,L2,M2,L2,K,L1,L2,M2,L2,M2,L2,K,L1,L2,M1,,,,,,,,,,,,,,,,,,,,,,,
2020tv,Dec11_2020_0400,24,24,L2,L2,M1,L2,M1,M2,L2,M1,L2,M2,L2,K,M1,L2,K,M1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
