Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	QualName
1	Spectrogram 1	1	1.508226384	4.113344684	2943.052	1274.311	1.8749	0.1341	3.5624	0.7927	1.6875	2.6051	1392.000	2928.000	2928.000	1536.000	15.64	M
2	Spectrogram 1	1	4.678929578	9.169330858	2950.637	1259.141	5.0624	0.0839	8.7812	0.9161	3.7188	4.4904	1328.000	2944.000	2448.000	1616.000	15.79	M3
3	Spectrogram 1	1	10.011301380	13.250560319	1190.874	348.919	10.4374	0.1262	13.0624	0.9417	2.6250	3.2393	368.000	960.000	416.000	592.000	19.21	A
4	Spectrogram 1	1	16.060982938	16.933268950	731.792	629.570	16.1562	0.1111	16.5937	0.6296	0.4375	0.8723	656.000	704.000	688.000	48.000	23.61	B
5	Spectrogram 1	1	17.346403152	18.186211025	530.963	326.163	17.4687	0.1200	18.1249	0.9600	0.6562	0.8398	336.000	464.000	400.000	128.000	21.67	D
6	Spectrogram 1	1	20.140049750	21.082691240	530.963	303.407	20.2187	0.0690	20.9062	0.8276	0.6875	0.9426	304.000	496.000	400.000	192.000	24.33	D
7	Spectrogram 1	1	22.196722092	23.310752944	515.793	144.119	22.3437	0.1176	23.0624	0.7941	0.7188	1.1140	176.000	416.000	192.000	240.000	20.90	D
8	Spectrogram 1	1	24.133421881	25.298869541	515.793	159.289	24.2499	0.0833	25.0312	0.7778	0.7812	1.1654	176.000	448.000	272.000	272.000	21.66	D
9	Spectrogram 1	1	37.326698634	38.005365882	2542.085	294.188	37.3749	0.0476	37.9374	0.9048	0.5625	0.6787	320.000	960.000	464.000	640.000	17.91	break
10	Spectrogram 1	1	45.234376981	45.971351237	720.593	576.474	45.4374	0.2609	45.9062	0.9130	0.4688	0.7370	624.000	672.000	640.000	48.000	21.45	B
11	Spectrogram 1	1	46.314129961	47.479577621	584.059	417.185	46.3749	0.0278	47.1562	0.7222	0.7812	1.1654	448.000	512.000	496.000	64.000	19.30	C
12	Spectrogram 1	1	48.608801559	49.529849967	748.308	630.154	48.7812	0.1786	49.4999	1.0000	0.7188	0.9210	656.000	720.000	704.000	64.000	17.91	B
13	Spectrogram 1	1	49.844945475	50.838708231	502.154	374.154	50.1249	0.2667	50.5312	0.7000	0.4062	0.9938	432.000	496.000	480.000	64.000	25.81	C
14	Spectrogram 1	1	52.971662439	53.723044035	787.692	571.077	53.1249	0.1739	53.7187	1.0000	0.5938	0.7514	576.000	704.000	640.000	128.000	25.73	B
15	Spectrogram 1	1	53.916948963	55.395474038	561.231	443.077	54.1562	0.1522	54.9999	0.7391	0.8438	1.4785	480.000	544.000	512.000	64.000	19.76	C
16	Spectrogram 1	1	56.409616542	58.346316331	2548.622	1334.993	56.4687	0.0164	58.1874	0.9180	1.7188	1.9367	1376.000	2432.000	1488.000	1056.000	12.20	M
17	Spectrogram 1	1	59.168985268	62.048326547	2996.148	1441.185	59.3437	0.0549	61.7187	0.8901	2.3750	2.8793	1488.000	2944.000	1728.000	1456.000	11.96	M
18	Spectrogram 1	1	63.248052080	65.801753571	3163.022	1410.844	63.3749	0.0494	65.4999	0.8889	2.1250	2.5537	1488.000	3072.000	1744.000	1584.000	11.59	M
19	Spectrogram 1	1	66.792429714	71.082576245	3150.769	1063.385	67.1249	0.0735	70.7187	0.9191	3.5938	4.2901	1296.000	3056.000	1504.000	1760.000	12.59	M2
20	Spectrogram 1	1	72.003624653	74.403198136	3209.846	1368.615	72.1562	0.0533	74.1562	0.9067	2.0000	2.3996	1488.000	3168.000	3008.000	1680.000	13.95	M
21	Spectrogram 1	1	75.251532196	79.081154524	3209.846	1211.077	75.4999	0.0579	78.6874	0.9008	3.1875	3.8296	1392.000	3152.000	3008.000	1760.000	12.62	M2
22	Spectrogram 1	1	79.884469270	83.277805510	3081.846	1260.308	80.0937	0.0561	82.9999	0.9252	2.9062	3.3933	1376.000	3024.000	1504.000	1648.000	13.69	M2
23	Spectrogram 1	1	84.247330149	88.949524653	3111.385	1280.000	84.4062	0.0333	88.5937	0.9267	4.1875	4.7022	1360.000	3072.000	1472.000	1712.000	13.13	M3
24	Spectrogram 1	1	89.872877381	92.539070141	3062.154	1289.846	90.0624	0.0706	92.2187	0.8824	2.1562	2.6662	1360.000	3040.000	1440.000	1680.000	13.82	M
25	Spectrogram 1	1	93.072308693	98.162313052	3190.154	974.769	93.5312	0.0864	97.8437	0.9383	4.3125	5.0900	1120.000	3056.000	3008.000	1936.000	13.22	M3
26	Spectrogram 1	1	99.156075808	102.525173931	3249.231	1437.538	99.2499	0.0280	102.1874	0.9065	2.9375	3.3691	1456.000	3184.000	1472.000	1728.000	13.34	M2
27	Spectrogram 1	1	103.670696382	108.006847236	3026.489	1418.430	103.8437	0.0362	107.7812	0.9493	3.9375	4.3362	1472.000	3008.000	2992.000	1536.000	13.33	M3
28	Spectrogram 1	1	109.014993808	112.065724449	3026.489	1236.385	109.1874	0.0515	111.7499	0.8969	2.5625	3.0507	1328.000	2976.000	1424.000	1648.000	14.08	M2
29	Spectrogram 1	1	113.419700407	116.676098282	1206.044	364.089	113.7187	0.0874	116.1562	0.8447	2.4375	3.2564	416.000	992.000	704.000	576.000	23.62	A
30	Spectrogram 1	1	119.269290504	120.160515186	758.519	606.815	119.6249	0.3929	120.0624	0.8929	0.4375	0.8912	656.000	720.000	704.000	64.000	27.44	B
31	Spectrogram 1	1	120.503293909	121.343101782	530.963	447.526	120.6874	0.2000	121.2499	0.9200	0.5625	0.8398	464.000	512.000	480.000	48.000	25.50	C
32	Spectrogram 1	1	122.679938805	123.245523699	781.274	599.230	122.8124	0.2353	123.1874	0.9412	0.3750	0.5656	656.000	736.000	704.000	80.000	20.07	B
33	Spectrogram 1	1	123.571163486	124.496666040	485.452	326.163	123.7812	0.2143	124.3749	0.8929	0.5938	0.9255	336.000	480.000	352.000	144.000	21.50	C
34	Spectrogram 1	1	125.473585403	126.193420722	750.933	644.741	125.5937	0.1364	125.9999	0.7273	0.4062	0.7198	688.000	720.000	704.000	32.000	30.53	B
35	Spectrogram 1	1	126.621894127	127.547396681	523.378	310.993	126.6562	0.0345	127.4062	0.8621	0.7500	0.9255	336.000	480.000	448.000	144.000	22.28	C
36	Spectrogram 1	1	129.004206257	129.878292002	470.281	250.311	129.0937	0.0741	129.7499	0.8519	0.6562	0.8741	256.000	432.000	272.000	176.000	25.03	D
37	Spectrogram 1	1	130.906628173	131.900686472	485.452	121.363	131.1874	0.2667	131.7812	0.9000	0.5938	0.9941	176.000	432.000	176.000	256.000	24.83	D
38	Spectrogram 1	1	132.946161617	134.025914597	508.207	144.119	133.0312	0.0606	133.8437	0.8485	0.8125	1.0798	160.000	448.000	176.000	288.000	20.54	D
39	Spectrogram 1	1	134.882861406	135.911197577	508.207	121.363	134.9374	0.0312	135.5937	0.6875	0.6562	1.0283	144.000	464.000	176.000	320.000	19.01	D
40	Spectrogram 1	1	137.295102530	137.295102530	2609.974	346.991	137.2812	NaN	137.2812	NaN	0.0000	0.0000	352.000	2080.000	448.000	1728.000	12.81	break
41	Spectrogram 1	1	140.744377581	141.429935028	713.007	599.230	140.9062	0.2381	141.3437	0.9048	0.4375	0.6856	608.000	688.000	656.000	80.000	26.74	B
42	Spectrogram 1	1	141.875547369	142.612521625	553.719	447.526	141.9687	0.0909	142.4999	0.8636	0.5312	0.7370	480.000	512.000	496.000	32.000	26.72	C
43	Spectrogram 1	1	144.634916095	145.080528436	804.030	637.156	144.7812	0.3077	144.9999	0.8462	0.2188	0.4456	672.000	768.000	688.000	96.000	26.00	B
44	Spectrogram 1	1	146.023169964	147.188617625	561.304	303.407	146.0937	0.0541	146.9999	0.8378	0.9062	1.1654	320.000	512.000	368.000	192.000	23.20	C
45	Spectrogram 1	1	148.251231668	151.884686139	2920.296	1198.459	148.2812	0.0000	151.4687	0.8870	3.1875	3.6335	1248.000	2864.000	1264.000	1616.000	12.48	M2
46	Spectrogram 1	1	152.655938267	156.357948483	2927.881	1046.756	152.8749	0.0593	155.3437	0.7288	2.4688	3.7020	1184.000	2752.000	1408.000	1568.000	12.76	M2
47	Spectrogram 1	1	157.146339547	160.831210827	3094.756	970.904	157.4062	0.0684	159.7812	0.7179	2.3750	3.6849	1376.000	2784.000	1408.000	1408.000	12.48	M2
48	Spectrogram 1	1	161.602462994	166.058586401	3178.193	1137.778	161.8437	0.0496	165.3437	0.8440	3.5000	4.4561	1392.000	3120.000	1424.000	1728.000	12.57	M2
49	Spectrogram 1	1	166.829838530	170.583265554	3125.096	1304.652	166.9999	0.0420	170.1562	0.8908	3.1562	3.7534	1360.000	3088.000	1392.000	1728.000	13.14	M2
50	Spectrogram 1	1	171.577323853	175.159361515	3079.585	1266.726	171.6562	0.0175	174.9062	0.9298	3.2500	3.5820	1392.000	2992.000	1840.000	1600.000	13.98	M2
51	Spectrogram 1	1	176.170558788	181.089433473	2965.807	1122.607	176.3749	0.0385	179.9374	0.7692	3.5625	4.9189	1328.000	2800.000	1392.000	1472.000	13.96	M3
52	Spectrogram 1	1	181.809268793	186.265392201	3011.319	1016.415	182.1562	0.0775	185.5937	0.8521	3.4375	4.4561	1344.000	2880.000	2032.000	1536.000	13.70	M3
53	Spectrogram 1	1	187.156616882	190.464431566	1107.437	303.407	187.5312	0.1058	190.1249	0.9038	2.5938	3.3078	320.000	928.000	464.000	608.000	22.31	A
54	Spectrogram 1	1	195.057666501	195.503278842	781.274	629.570	195.0937	0.0714	195.4374	0.8571	0.3438	0.4456	672.000	736.000	688.000	64.000	31.76	B
55	Spectrogram 1	1	195.966030119	197.714201610	584.059	310.993	196.4687	0.2909	197.6249	0.9636	1.1562	1.7482	336.000	544.000	352.000	208.000	18.63	C
56	Spectrogram 1	1	198.365481185	198.759676717	773.689	652.326	198.4062	0.0833	198.6562	0.7500	0.2500	0.3942	672.000	720.000	688.000	48.000	36.76	B
57	Spectrogram 1	1	199.342400547	200.336458846	515.793	348.919	199.4687	0.1290	200.2187	0.9032	0.7500	0.9941	368.000	480.000	432.000	112.000	25.22	C
58	Spectrogram 1	1	202.153186082	203.301494806	538.548	242.726	202.2812	0.1111	203.1562	0.8889	0.8750	1.1483	256.000	480.000	272.000	224.000	25.67	D
59	Spectrogram 1	1	204.312692041	204.621192892	735.763	629.570	204.4062	0.2500	204.5624	0.8750	0.1562	0.3085	656.000	704.000	672.000	48.000	21.64	B
