Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	Time 5% (s)	Time 5% Rel.	Time 95% (s)	Time 95% Rel.	Dur 90% (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq (Hz)	BW 90% (Hz)	SNR NIST Quick (dB)	Qual Name
1	Spectrogram 1	1	0.789500000	16.184208880	3117.511	857.126	3.5624	0.1792	13.7187	0.8411	10.1562	15.3947	944.000	2768.000	1088.000	1824.000	15.43	W6
2	Spectrogram 1	1	17.105261418	29.144733877	3087.170	515.793	18.7187	0.1328	28.2187	0.9245	9.5000	12.0395	608.000	2368.000	1232.000	1760.000	16.05	W4
3	Spectrogram 1	1	160.792665590	171.778747015	3530.105	778.700	161.7499	0.0857	171.1562	0.9457	9.4062	10.9861	912.000	3264.000	1152.000	2352.000	14.71	W4
4	Spectrogram 1	1	173.167033002	185.634440770	4080.400	732.000	174.8749	0.1357	184.9999	0.9497	10.1250	12.4674	880.000	3392.000	1664.000	2512.000	15.50	W4
5	Spectrogram 1	1	186.931487643	199.352375233	3625.646	950.507	188.6562	0.1385	198.3124	0.9169	9.6562	12.4209	1040.000	3024.000	1328.000	1984.000	16.53	W4
6	Spectrogram 1	1	200.282778798	212.796706745	3664.842	591.800	201.8437	0.1228	211.4999	0.8972	9.6562	12.5139	688.000	2752.000	1296.000	2064.000	17.27	W4
7	Spectrogram 1	1	213.075827814	224.101110057	3527.656	646.300	214.7187	0.1477	223.5624	0.9517	8.8438	11.0253	672.000	2656.000	688.000	1984.000	16.21	W4
8	Spectrogram 1	1	225.450534463	236.219955725	3419.866	661.900	227.0624	0.1483	235.4687	0.9302	8.4062	10.7694	688.000	2256.000	688.000	1568.000	15.64	W4
9	Spectrogram 1	1	237.406220270	246.216106020	3498.258	630.800	239.1249	0.1929	245.7499	0.9500	6.6250	8.8099	672.000	1616.000	704.000	944.000	15.92	W3
10	Spectrogram 1	1	247.052669328	250.262561626	661.900	272.500	247.4687	0.1275	249.9062	0.8922	2.4375	3.2099	352.000	640.000	384.000	288.000	29.80	F
11	Spectrogram 1	1	251.262745459	254.240036866	661.900	257.000	251.5624	0.0957	253.7187	0.8298	2.1562	2.9773	304.000	640.000	320.000	336.000	28.82	F
12	Spectrogram 1	1	255.333261055	258.543153353	669.700	241.400	255.7187	0.1176	258.0624	0.8529	2.3438	3.2099	304.000	640.000	640.000	336.000	28.79	F
13	Spectrogram 1	1	259.682897720	262.567148771	661.900	225.800	259.9687	0.0978	262.0937	0.8370	2.1250	2.8843	272.000	640.000	576.000	368.000	26.18	F
14	Spectrogram 1	1	265.046326213	268.139918066	685.300	194.700	265.4374	0.1224	267.8124	0.8980	2.3750	3.0936	224.000	640.000	240.000	416.000	28.17	F
15	Spectrogram 1	1	282.109257962	295.727677630	3557.053	685.300	283.2812	0.0851	295.4062	0.9770	12.1250	13.6184	704.000	3104.000	768.000	2400.000	15.47	W5
16	Spectrogram 1	1	297.175045904	310.069781434	3606.048	879.900	298.9687	0.1383	309.6562	0.9684	10.6875	12.8947	992.000	2960.000	1008.000	1968.000	15.78	W4
17	Spectrogram 1	1	311.714518109	323.227674832	3606.048	926.700	313.6249	0.1658	322.6874	0.9538	9.0625	11.5132	960.000	3024.000	1120.000	2064.000	16.60	W4
18	Spectrogram 1	1	324.644568075	335.960356398	3664.842	677.500	326.4374	0.1579	335.4999	0.9612	9.0625	11.3158	736.000	2912.000	912.000	2176.000	16.59	W4
19	Spectrogram 1	1	337.473514138	348.591934060	3537.455	623.000	339.2187	0.1554	348.0312	0.9520	8.8125	11.1184	752.000	2512.000	976.000	1760.000	16.86	W4
20	Spectrogram 1	1	350.273957231	359.155535274	3468.861	615.200	352.1249	0.2085	358.9374	0.9788	6.8125	8.8816	640.000	1776.000	752.000	1136.000	16.69	W3
21	Spectrogram 1	1	360.339745680	363.695008497	669.700	264.800	360.7187	0.1121	363.0312	0.8037	2.3125	3.3553	352.000	624.000	384.000	272.000	29.97	F
22	Spectrogram 1	1	364.681850502	367.839744917	669.700	257.000	364.9374	0.0800	367.2812	0.8300	2.3438	3.1579	304.000	624.000	384.000	320.000	29.63	F
23	Spectrogram 1	1	368.695007988	371.721323470	654.100	241.400	368.9062	0.0625	371.1249	0.8021	2.2188	3.0263	304.000	640.000	608.000	336.000	28.09	F
24	Spectrogram 1	1	372.445007607	375.537112555	669.700	241.400	372.9999	0.1735	374.9999	0.8265	2.0000	3.0921	272.000	624.000	592.000	352.000	27.91	F
25	Spectrogram 1	1	378.168691235	381.063427783	693.000	202.500	378.4999	0.1087	380.7499	0.8913	2.2500	2.8947	224.000	640.000	608.000	416.000	29.51	F
26	Spectrogram 1	1	395.022088071	408.772086672	3762.833	732.000	396.0624	0.0752	408.1249	0.9544	12.0625	13.7500	768.000	3408.000	800.000	2640.000	15.76	W5
27	Spectrogram 1	1	410.068157159	422.436576953	3635.445	981.200	411.9687	0.1523	421.9999	0.9670	10.0312	12.3684	1056.000	3104.000	1088.000	2048.000	16.54	W4
28	Spectrogram 1	1	423.998135200	436.169186593	3557.053	958.500	425.8437	0.1517	435.5937	0.9537	9.7500	12.1711	1008.000	2912.000	1008.000	1904.000	16.86	W4
29	Spectrogram 1	1	437.550765400	448.932343190	3459.062	872.900	439.0937	0.1350	448.4062	0.9559	9.3125	11.3816	960.000	2912.000	1008.000	1952.000	16.66	W4
30	Spectrogram 1	1	450.708658799	461.629710319	3527.656	600.300	452.1874	0.1347	460.9687	0.9398	8.7812	10.9211	640.000	2912.000	896.000	2272.000	16.89	W4
31	Spectrogram 1	1	463.254906822	471.807537531	3557.053	545.800	464.7812	0.1765	471.5937	0.9779	6.8125	8.5526	624.000	2496.000	704.000	1872.000	17.28	W3
32	Spectrogram 1	1	472.662800602	476.083852886	685.300	280.300	472.9687	0.0833	475.4999	0.8333	2.5312	3.4211	336.000	624.000	384.000	288.000	27.58	F
33	Spectrogram 1	1	477.268063292	480.294378773	770.900	249.200	477.4062	0.0417	479.7812	0.8333	2.3750	3.0263	320.000	640.000	592.000	320.000	26.03	F
34	Spectrogram 1	1	481.149641844	483.912799458	724.200	233.600	481.4687	0.1136	483.5937	0.8864	2.1250	2.7632	256.000	624.000	608.000	368.000	27.30	F
35	Spectrogram 1	1	486.544378138	489.636483086	708.600	210.300	486.9687	0.1327	489.2187	0.8673	2.2500	3.0921	256.000	608.000	272.000	352.000	23.65	F
36	Spectrogram 1	1	490.689114558	493.189114304	716.400	218.000	490.8437	0.0506	492.9374	0.8987	2.0938	2.5000	256.000	608.000	560.000	352.000	27.06	F
37	Spectrogram 1	1	509.209118132	522.498590465	3439.464	778.700	510.3437	0.0849	521.9999	0.9646	11.6562	13.2895	816.000	2688.000	1024.000	1872.000	15.18	W5
38	Spectrogram 1	1	523.682800871	537.761746807	3410.067	903.300	525.4374	0.1244	536.9687	0.9444	11.5312	14.0789	960.000	2656.000	1008.000	1696.000	16.60	W5
39	Spectrogram 1	1	539.077536147	550.130166601	3302.278	778.700	540.7187	0.1473	549.3749	0.9320	8.6562	11.0526	880.000	2608.000	1024.000	1728.000	16.58	W4
40	Spectrogram 1	1	551.433048677	563.143573801	3174.890	576.200	553.0937	0.1417	562.5937	0.9545	9.5000	11.7105	624.000	1856.000	1024.000	1232.000	17.13	W4
41	Spectrogram 1	1	564.722521009	573.143572784	3204.287	591.800	566.1874	0.1716	572.6562	0.9440	6.4688	8.4211	624.000	1552.000	688.000	928.000	17.65	W3
42	Spectrogram 1	1	574.196204256	577.354098672	677.500	257.000	574.4999	0.0900	576.8437	0.8400	2.3438	3.1579	352.000	640.000	384.000	288.000	31.82	F
43	Spectrogram 1	1	578.209361743	581.564624559	677.500	264.800	578.6249	0.1215	581.0624	0.8505	2.4375	3.3553	304.000	640.000	592.000	336.000	28.54	F
44	Spectrogram 1	1	583.340940168	586.564624050	661.900	233.600	583.7187	0.1165	586.2812	0.9126	2.5625	3.2237	272.000	640.000	624.000	368.000	28.85	F
45	Spectrogram 1	1	587.551466055	590.709360471	716.400	233.600	587.8437	0.0900	590.2499	0.8600	2.4062	3.1579	272.000	672.000	592.000	400.000	27.06	F
46	Spectrogram 1	1	591.630413009	594.327781155	677.500	233.600	591.9062	0.0941	593.9374	0.8588	2.0312	2.6974	256.000	624.000	272.000	368.000	27.98	F
47	Spectrogram 1	1	597.288307170	600.380412119	693.000	194.700	597.5624	0.0816	599.9687	0.8673	2.4062	3.0921	240.000	656.000	624.000	416.000	27.56	F
48	Spectrogram 1	1	614.507937836	628.257936438	3419.866	669.700	615.4999	0.0706	627.5624	0.9499	12.0625	13.7500	704.000	3152.000	704.000	2448.000	15.94	W5
49	Spectrogram 1	1	629.507936311	642.073724506	3439.464	895.500	631.4374	0.1521	641.4374	0.9501	10.0000	12.5658	1040.000	2912.000	1056.000	1872.000	16.76	W4
50	Spectrogram 1	1	643.126355978	655.494775772	3449.263	786.500	645.3437	0.1777	654.8749	0.9518	9.5312	12.3684	896.000	2656.000	1024.000	1760.000	16.69	W4
51	Spectrogram 1	1	656.769154283	668.019153138	3459.062	685.300	658.5937	0.1616	667.3437	0.9415	8.7500	11.2500	752.000	2512.000	1024.000	1760.000	16.56	W4
52	Spectrogram 1	1	669.532310879	678.348099456	3743.234	599.600	671.0312	0.1673	677.7499	0.9324	6.7188	8.8158	624.000	2112.000	624.000	1488.000	16.87	W3
53	Spectrogram 1	1	679.005994126	682.690204278	677.500	295.900	679.5624	0.1453	681.9999	0.8120	2.4375	3.6842	368.000	640.000	416.000	272.000	27.78	F
54	Spectrogram 1	1	683.479677882	686.900730165	661.900	241.400	683.8124	0.0926	686.2812	0.8241	2.4688	3.4211	352.000	640.000	368.000	288.000	29.78	F
55	Spectrogram 1	1	687.887572170	690.913887652	763.100	233.600	688.1249	0.0729	690.5937	0.8958	2.4688	3.0263	272.000	688.000	560.000	416.000	28.04	F
56	Spectrogram 1	1	693.019150595	696.505992346	732.000	202.500	693.5312	0.1441	696.0937	0.8829	2.5625	3.4868	240.000	672.000	640.000	432.000	26.09	F
57	Spectrogram 1	1	715.052347087	728.736556221	3537.455	716.400	715.6874	0.0458	728.2187	0.9634	12.5312	13.6842	784.000	3040.000	832.000	2256.000	15.34	W5
58	Spectrogram 1	1	729.920766627	742.947081092	3478.660	903.300	731.7812	0.1418	742.2187	0.9447	10.4375	13.0263	992.000	2592.000	1232.000	1600.000	15.82	W4
59	Spectrogram 1	1	744.460238832	756.631290226	3615.847	693.000	746.1249	0.1362	755.7187	0.9254	9.5938	12.1711	736.000	2640.000	1216.000	1904.000	15.81	W4
60	Spectrogram 1	1	758.012869033	767.354973346	3919.617	568.500	759.5937	0.1678	766.5312	0.9128	6.9375	9.3421	624.000	2560.000	640.000	1936.000	16.35	W3
61	Spectrogram 1	1	767.692884074	771.179725824	677.500	295.900	768.1874	0.1364	770.6874	0.8636	2.5000	3.4868	368.000	640.000	560.000	272.000	28.36	F
